case_id	suite	source_locator	source_object	declaration_kind	disposition	provisional_owner	reason	evidence_id
SVELTE-A0253578FE91D59E9BB6	compiler-errors	packages/svelte/tests/compiler-errors/samples/class-state-field-static/	239c3cffe9b17a751c9c5d3241289bab84bed9a0	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-a0253578fe91d59e9bb6:pass
SVELTE-FC4ABBE48BDAE53CFDD5	compiler-errors	packages/svelte/tests/compiler-errors/samples/comment-unclosed/	eedfc4900d557eb09208ffad595b833cd4e8b5c6	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-fc4abbe48bdae53cfdd5:pass
SVELTE-0D3B6A79735D332926BB	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-invalid-name/	21c30bef55176222560be41f26785146204c43db	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-0d3b6a79735d332926bb:pass
SVELTE-504E5AD79BA9AF9D81E2	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error-2/	af0edd170ad68ecea39735e3491a4a44beba982e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-504e5ad79ba9af9d81e2:pass
SVELTE-BB86F602C475A4CF9915	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error-3/	32f72f99698d99fe90b106a6644f3c7c05074169	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-bb86f602c475a4cf9915:pass
SVELTE-8AC95F1793DFB280449D	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error-4/	f2b8b677396974020076bfddc7b14063e85d10e4	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-8ac95f1793dfb280449d:pass
SVELTE-FDF4779A73CE11315E83	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error-5/	32acf7c2ec0dbf1ece29932975e5bcbacc182f09	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-fdf4779a73ce11315e83:pass
SVELTE-64B09D9534D34CE76163	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error-6/	430fdf2e399f54b57e5503ca75d0b4014c751c09	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-64b09d9534d34ce76163:pass
SVELTE-36B20FF5D37720EF8F0C	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-duplicate-error/	d2f40e7dff1874b8d3257e403900ac0b51a13c54	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-36b20ff5d37720ef8f0c:pass
SVELTE-2F3A5482328BCFBF3D6F	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-nested-error-2/	c8bb4ba0ed22d04bffe59bd53949656abf4abedd	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-2f3a5482328bcfbf3d6f:pass
SVELTE-8716584628FF8DD80EC5	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-nested-error-3/	b28946f30a37c4e4e5187b89eb6647819d0954c0	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-8716584628ff8dd80ec5:pass
SVELTE-238C6DF95C68139F0987	compiler-errors	packages/svelte/tests/compiler-errors/samples/component-slot-nested-error/	15f71ebb19b332b8b103f99be4aee8f75907d83a	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-238c6df95c68139f0987:pass
SVELTE-E5FFC6603B34E930DF69	compiler-errors	packages/svelte/tests/compiler-errors/samples/const-tag-cyclical/	3d78e3d8eab1feb73add847b8cd32dc6aac898a5	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e5ffc6603b34e930df69:pass
SVELTE-2966BB31E77F20D382F4	compiler-errors	packages/svelte/tests/compiler-errors/samples/const-tag-sequence/	b3e89cfea08d7375ad46e154b3896618a8638938	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-2966bb31e77f20d382f4:pass
SVELTE-E0CF7A22A2D9B0AD1A3E	compiler-errors	packages/svelte/tests/compiler-errors/samples/const-tag-snippet-invalid-reference-1/	0cc3a0d695afc97c46dcdc69115b79bec3acc3a6	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e0cf7a22a2d9b0ad1a3e:pass
SVELTE-C32717C80A98ECAAA7F9	compiler-errors	packages/svelte/tests/compiler-errors/samples/const-tag-snippet-invalid-reference-2/	2ea1b2184adb1155353813ced8bf55653a853533	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-c32717c80a98ecaaa7f9:pass
SVELTE-6CFE8238710F1B2EB290	compiler-errors	packages/svelte/tests/compiler-errors/samples/const-tag-whitespace/	6180f4b1c9e439238804f6a18a68636db68b06c2	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-6cfe8238710f1b2eb290:pass
SVELTE-78F23629E701BDEBFAA8	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-combinator-2/	240a176035fc63dff33844ce10f3429b59a77b15	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-78f23629e701bdebfaa8:pass
SVELTE-F0D8953C070A8DB14979	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-combinator/	091d3f41742cfc918a2adde08a71abfaed799baf	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-f0d8953c070a8db14979:pass
SVELTE-55B5AB33FA1BF99004B0	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-declaration/	89c70b12cf480a22a3355197fcc6b7aeeba0863e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-55b5ab33fa1bf99004b0:pass
SVELTE-EC4D4A44D6E4135909A2	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-in-pseudoclass/	1c40e3a45cb67455806a72582b220577f82c16a2	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-ec4d4a44d6e4135909a2:pass
SVELTE-17E398EEAC8AF2CAA1B2	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-multiple-1/	0ac10637583e87dfd7f65ff511e567cac262d363	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-17e398eeac8af2caa1b2:pass
SVELTE-126D29962610433F8526	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-block-multiple-2/	4939c02a70d027d454f45113405b72f077655c14	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-126d29962610433f8526:pass
SVELTE-B7E983C3027EBB77A136	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-modifier-start-1/	40880c2b2b0483fc4b985dc329001ee89f4d8b8e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-b7e983c3027ebb77a136:pass
SVELTE-68D870EB8CC96EE2B02C	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-modifier-start-2/	a55eb02e3f8ee275c084b8c72cfa472519ba98a7	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-68d870eb8cc96ee2b02c:pass
SVELTE-1E99A06EFD5605680580	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-global-modifier/	09c8752ee57911a5354911037e1881705e89f799	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-1e99a06efd5605680580:pass
SVELTE-25F97111E8FD0627D359	compiler-errors	packages/svelte/tests/compiler-errors/samples/css-nesting-selector-root/	e870ec11453ea8dba88e19275d9bc7a45e57d15f	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-25f97111e8fd0627d359:pass
SVELTE-93C22AFC0305F61550F7	compiler-errors	packages/svelte/tests/compiler-errors/samples/css/	4fe33c676a260c724b051130618cfce56af11822	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: official style error css_expected_identifier is outside carrier parsing; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-93c22afc0305f61550f7:unverifiable
SVELTE-2F9F41DB52CD70254B01	compiler-errors	packages/svelte/tests/compiler-errors/samples/declaration-tag-trailing-slash/	aaccd8b4f227a9cea5367a69a4c78d4f8b9eb38f	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-2f9f41db52cd70254b01:pass
SVELTE-7851FEEB6C9105A7D835	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-declaration-legacy/	9ff2a864624709e9d26885551b13a6f5f527e66e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-7851feeb6c9105a7d835:pass
SVELTE-C4F0D8D1158C1D6FABC1	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-declaration-runes-2/	803ecb2fd3d083579fa1de93c3f8c3f346b4c19f	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-c4f0d8d1158c1d6fabc1:pass
SVELTE-A4D16BCA5D197865C669	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-declaration-runes/	ce06244a76b5c50512cfb3e7f82c1ee2ea4e7077	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-a4d16bca5d197865c669:pass
SVELTE-C8CA6B2F8D84C6810329	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-global-js/	03df4ec5f22f372a80df5db16e3c9ad68dcc6589	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-c8ca6b2f8d84c6810329:unverifiable
SVELTE-A8F743A48DB8C75AFE75	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-global/	52a06d2018e6acdeb6566447a0bf6c2191f47c3b	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-a8f743a48db8c75afe75:pass
SVELTE-875FB27AE26BB802BBDB	compiler-errors	packages/svelte/tests/compiler-errors/samples/dollar-binding-import/	6bd2c53ca091cc394e778068ab5eabd766e93c58	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-875fb27ae26bb802bbdb:pass
SVELTE-1B80A33938E231F4B571	compiler-errors	packages/svelte/tests/compiler-errors/samples/dynamic-element-binding-invalid/	2e9208bc48971ec35952caa09531488ddd6c39ee	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-1b80a33938e231f4b571:pass
SVELTE-E237A7A022CDFB07A651	compiler-errors	packages/svelte/tests/compiler-errors/samples/each-key-without-as/	b05dac3c01a8c296f7e12ca47c9b4f93ce15fb4e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e237a7a022cdfb07a651:pass
SVELTE-1434E4D40F730BEC9645	compiler-errors	packages/svelte/tests/compiler-errors/samples/effect-active-rune/	1020e1ad8950cdd361f323ae88d38219c91fef44	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-1434e4d40f730bec9645:unverifiable
SVELTE-A2FA781DA398DE9767DB	compiler-errors	packages/svelte/tests/compiler-errors/samples/element-invalid-name/	3eed3b1e448d167a5a9cb8912406583914cd90bf	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-a2fa781da398de9767db:pass
SVELTE-32E82A0C8801ECD0987F	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-before-closing-2/	3e897a58bb6ab1b635f2bb1f794346e1a2f324c2	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-32e82a0c8801ecd0987f:pass
SVELTE-D307568B24149B61DE53	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-before-closing-3/	0a9849d1d3567aa1b807313f1e0e9828683ffe85	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-d307568b24149b61de53:pass
SVELTE-E7D1C58671360251B641	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-before-closing/	50089294bce95b42fc819dbf2bdd22fc64900544	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e7d1c58671360251b641:pass
SVELTE-B0CE27D7AFA389E2532B	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-if-before-closing-2/	34ac593ed4a2a2cfd1e690d9adc9e49bb57428ff	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-b0ce27d7afa389e2532b:pass
SVELTE-F22D8415F260BACB1AAF	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-if-before-closing/	ec1bfe4bdb869fda52684ea96120a70edcb25ff4	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-f22d8415f260bacb1aaf:pass
SVELTE-84D13B462CBCBBC80B1C	compiler-errors	packages/svelte/tests/compiler-errors/samples/else-if-without-if/	57a8bf6dcf57e2f6f37a452fd2ac60b2574dbf9e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-84d13b462cbcbbc80b1c:pass
SVELTE-E436EB22D3FAEE886177	compiler-errors	packages/svelte/tests/compiler-errors/samples/empty-attribute-shorthand/	cd7dd058cb6024327707f32bea0a759ec9ddcab0	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e436eb22d3faee886177:pass
SVELTE-C92E4984D0541C318D01	compiler-errors	packages/svelte/tests/compiler-errors/samples/empty-classname-binding/	5751acd07d85b1082470344fda1c2ae7f162c759	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-c92e4984d0541c318d01:pass
SVELTE-AFAE0D8D5B54A3071EB7	compiler-errors	packages/svelte/tests/compiler-errors/samples/empty-directive-name/	53f0e2cbe291d4ffcd15c216b68cf6875206a3d6	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-afae0d8d5b54a3071eb7:pass
SVELTE-749FD11F035475235244	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-default-derived-state-indirect/	f37d3764520527cf55403bfba7601729b737cf1d	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-749fd11f035475235244:unverifiable
SVELTE-91AA3516EDE945204FEF	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-default-state-indirect/	75bfef3607094181710b0c3011c64e323ed93784	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-91aa3516ede945204fef:unverifiable
SVELTE-6064AD739E8F03406D66	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-derived-state-indirect/	7d756ccdd030cfdb6b9f41d89ccb1948f782f340	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-6064ad739e8f03406d66:unverifiable
SVELTE-55D56CCC0767A99AE44D	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-derived-state/	a0da6548f2edd7f4ffbcd58b5bd03b7fba39a054	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-55d56ccc0767a99ae44d:unverifiable
SVELTE-E5B3F06F56ED779319EA	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-not-defined-module/	154aa5d3005cd9a5e1f52b54b29be415ff2e2e5a	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e5b3f06f56ed779319ea:pass
SVELTE-B376F26E21CF4DE54EE3	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-state-indirect/	aecd922948d2793f111d6fa5ec305df248490b12	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-b376f26e21cf4de54ee3:unverifiable
SVELTE-D14BF8E4BE36CDD1E54D	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-state-module/	b777156f8f9f99daebfd3693289cb60736a14602	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-d14bf8e4be36cdd1e54d:pass
SVELTE-1DF33B8E4B0F722CC959	compiler-errors	packages/svelte/tests/compiler-errors/samples/export-state/	4bfcea1e4bb9c6efd6617fdefe2897daead8b6f7	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-1df33b8e4b0f722cc959:unverifiable
SVELTE-FB77C2A167EBB25E3463	compiler-errors	packages/svelte/tests/compiler-errors/samples/illegal-expression/	93e53a00b5c83852ea9f199f013391b48d439c94	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-fb77c2a167ebb25e3463:pass
SVELTE-ECAC76B42EEDADD7271F	compiler-errors	packages/svelte/tests/compiler-errors/samples/invalid-arguments-usage/	a86281d5c556f989e7d4abf224265d276d9fb57a	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-ecac76b42eedadd7271f:pass
SVELTE-99339694FE6080492A5F	compiler-errors	packages/svelte/tests/compiler-errors/samples/invalid-rune-name-shadowed/	84cbb22926d242714e7ded40909ca5f9589e1572	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-99339694fe6080492a5f:unverifiable
SVELTE-CA1DFF7868AD32CD14BB	compiler-errors	packages/svelte/tests/compiler-errors/samples/invalid-rune-name/	6117d7e58cf3ea85302b1cbc746e720a94dc0f02	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence. Parse-facet residual: sample contains no Svelte carrier input; retained for the co-owner.	B2-parse-facet-svelte.md#svelte-ca1dff7868ad32cd14bb:unverifiable
SVELTE-65D493C4A863D8CB2E02	compiler-errors	packages/svelte/tests/compiler-errors/samples/invalid-snippet-binding/	de862f6ca077175ecd104f92305ef7c717f92e9a	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-65d493c4a863d8cb2e02:pass
SVELTE-D1C1F5145E6CCD7FE3C3	compiler-errors	packages/svelte/tests/compiler-errors/samples/invalid-snippet-mutation/	9b5f2a2b400c807cc85f60fc36f7d66dde8a307b	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-d1c1f5145e6ccd7fe3c3:pass
SVELTE-AD3986C1BF1BD13B0F7B	compiler-errors	packages/svelte/tests/compiler-errors/samples/legacy-no-const-assignment/	05bf11c4b1cdd0f001900b12485602dec6a1da8e	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-ad3986c1bf1bd13b0f7b:pass
SVELTE-71DD9866162632FD84B8	compiler-errors	packages/svelte/tests/compiler-errors/samples/legacy-no-const-update/	2f4945eb5a2a702ca3e7fb852b4236b8554c73cf	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-71dd9866162632fd84b8:pass
SVELTE-D1F09694AB68A1B4D73C	compiler-errors	packages/svelte/tests/compiler-errors/samples/malformed-snippet-2/	baa1f217e82ad66bf0c0ffcbcb395dd0b97e5fff	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-d1f09694ab68a1b4d73c:pass
SVELTE-CC81503E9B8D0E3963E0	compiler-errors	packages/svelte/tests/compiler-errors/samples/malformed-snippet/	2e03b3ee68a48760b3c7023789b1082a31c49d46	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-cc81503e9b8d0e3963e0:pass
SVELTE-6786664E643FC85C300C	compiler-errors	packages/svelte/tests/compiler-errors/samples/multiple-styles/	1c4fd475d7439af1ee7d18d94499a28271d3e887	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-6786664e643fc85c300c:pass
SVELTE-330EF7DAFA9A11804720	compiler-errors	packages/svelte/tests/compiler-errors/samples/options-children/	f96d593c61679b0f16c2c1083979df44ab30844d	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-330ef7dafa9a11804720:pass
SVELTE-8D6554197267955C86D7	compiler-errors	packages/svelte/tests/compiler-errors/samples/raw-mustaches-whitespace/	4fc9b98acf04a95e2640e5c048d23ec75edfd300	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-8d6554197267955c86d7:pass
SVELTE-EC9EF020D256C5D8D0BD	compiler-errors	packages/svelte/tests/compiler-errors/samples/render-tag-invalid-call/	3314b9edf61e538722359dc2bc026e01ed156650	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-ec9ef020d256c5d8d0bd:pass
SVELTE-05CD1840FC0B36F8FE4A	compiler-errors	packages/svelte/tests/compiler-errors/samples/runes-before-after-update/	7ad5c0d24ce8bd8362fed71cb05609e0b8435263	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-05cd1840fc0b36f8fe4a:pass
SVELTE-3092EF6E150CE6D1A63F	compiler-errors	packages/svelte/tests/compiler-errors/samples/runes-bindable-not-called/	1a825e3088488bb6d8fd793791230ef70afb962c	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-3092ef6e150ce6d1a63f:pass
